kabupaten_kota,latitude,longitude
Kabupaten Jembrana,-8.36185,114.6418
Kabupaten Tabanan,-8.54452,115.12418
Kabupaten Badung,-8.58193,115.17706
Kabupaten Gianyar,-8.53724,115.32932
Kabupaten Klungkung,-8.53892,115.40451
Kabupaten Bangli,-8.4543,115.3549
Kabupaten Karang Asem,-6.39961,108.0503
Kabupaten Buleleng,-8.11383,115.127
Kota Denpasar,-8.65629,115.2221
Kabupaten Lombok Barat,-8.64646,116.11231
Kabupaten Lombok Tengah,-8.69462,116.27771
Kabupaten Lombok Timur,-8.51345,116.56099
Kabupaten Sumbawa,-8.65293,117.36165
Kabupaten Dompu,-8.49663,118.47472
Kabupaten Bima,-8.45506,118.53643
Kabupaten Sumbawa Barat,-8.92929,116.89103
Kabupaten Lombok Utara,-8.37391,116.27771
Kota Mataram,-8.58333,116.11667
Kota Bima,-8.46347,118.74303
Kabupaten Sumba Barat,-9.65483,119.39471
Kabupaten Sumba Timur,-9.98021,120.34355
Kabupaten Kupang,-10.07183,123.86499
Kabupaten Timor Tengah Selatan,-9.77628,124.41982
Kabupaten Timor Tengah Utara,-9.45226,124.59713
Kabupaten Belu,-9.41258,124.95066
Kabupaten Alor,-8.2754,124.72988
Kabupaten Lembata,-8.47191,123.48319
Kabupaten Flores Timur,-8.31309,122.9663
Kabupaten Sikka,-8.67662,122.12918
Kabupaten Ende,-8.85405,121.6542
Kabupaten Ngada,-8.74304,120.98763
Kabupaten Manggarai,-8.6797,120.38967
Kabupaten Rote Ndao,-10.73864,123.1239
Kabupaten Manggarai Barat,-8.66881,120.06652
Kabupaten Sumba Tengah,-9.48792,119.69627
Kabupaten Sumba Barat Daya,-9.53914,119.13906
Kabupaten Nagekeo,-8.67535,121.30841
Kabupaten Manggarai Timur,-8.62067,120.61999
Kabupaten Sabu Raijua,-10.55411,121.83349
Kabupaten Malaka,-9.5309,124.9066
Kota Kupang,-10.17414,123.61184
Kabupaten Sambas,1.36133,109.30036
Kabupaten Bengkayang,0.82097,109.4777
Kabupaten Landak,0.42373,109.75917
Kabupaten Mempawah,0.3897,109.1404
Kabupaten Sanggau,0.11928,110.5973
Kabupaten Ketapang,-1.8591,109.9719
Kabupaten Sintang,0.08024,111.4955
Kabupaten Kapuas Hulu,0.85192,112.93131
Kabupaten Sekadau,0.01564,110.8886
Kabupaten Melawi,-0.70007,111.66607
Kabupaten Kayong Utara,-0.92259,110.04497
Kabupaten Kubu Raya,-0.35339,109.47351
Kota Pontianak,-0.02252,109.33031
Kota Singkawang,0.9088,108.9846
Kabupaten Kotawaringin Barat,-2.6767,111.62622
Kabupaten Kotawaringin Timur,-2.53939,112.95932
Kabupaten Kapuas,-2.87169,114.38179
Kabupaten Barito Selatan,-1.87594,114.80927
Kabupaten Barito Utara,-0.95871,115.09405
Kabupaten Sukamara,-2.62675,111.23681
Kabupaten Lamandau,-1.92692,111.18912
Kabupaten Seruyan,-3.01235,112.42915
Kabupaten Katingan,-1.87189,113.41167
Kabupaten Pulang Pisau,-2.68496,113.95365
Kabupaten Gunung Mas,-6.70528,106.99139
Kabupaten Barito Timur,-2.0124,115.18892
