,kabupaten,tahun,temperature,temp_max,temp_min,rainfall,humidity,wind_speed,solar_radiation
42,ACEH JAYA,2024,28.213333333333335,29.280273224043714,27.176666666666666,2904.67,80.51286885245901,2.564207650273224,18.762377049180326
43,ACEH JAYA,2025,27.933287671232875,29.074712328767124,26.846630136986303,2357.67,79.73775342465753,2.7787123287671234,18.100328767123287
44,ACEH SELATAN,2015,25.26408219178082,26.546109589041095,24.173506849315068,2801.95,83.15794520547945,1.7431232876712328,16.909424657534245
45,ACEH SELATAN,2016,25.41893442622951,26.761092896174862,24.336338797814207,3548.36,82.77483606557377,1.8546448087431693,17.67516393442623
46,ACEH SELATAN,2017,25.129287671232877,26.47309589041096,24.002794520547948,2970.49,82.25731506849316,1.719671232876712,17.245287671232877
47,ACEH SELATAN,2018,25.20186301369863,26.553643835616437,24.132767123287667,2969.56,82.33043835616438,1.6697260273972605,17.281260273972602
48,ACEH SELATAN,2019,25.522931506849318,26.857479452054793,24.446356164383563,2601.45,83.12890410958904,1.7051780821917808,17.492712328767123
49,ACEH SELATAN,2020,25.463715846994535,26.87579234972678,24.32622950819672,3771.71,81.98161202185793,1.6629781420765026,17.35204918032787
50,ACEH SELATAN,2021,25.272219178082192,26.649890410958903,24.12917808219178,3243.69,81.19084931506849,1.6084109589041098,17.42454794520548
51,ACEH SELATAN,2022,25.171726027397263,26.5473698630137,24.042383561643835,2928.14,81.63627397260274,1.6853424657534246,16.653205479452055
52,ACEH SELATAN,2023,25.523013698630137,26.803643835616437,24.473698630136987,3213.27,82.90079452054795,1.6761917808219176,16.651095890410957
53,ACEH SELATAN,2024,25.95789617486339,27.25724043715847,24.857896174863388,3163.49,82.74043715846994,1.6839344262295084,17.069371584699454
54,ACEH SELATAN,2025,25.52827397260274,26.942547945205483,24.36345205479452,2640.04,81.37353424657535,1.7075616438356165,16.661890410958904
55,ACEH SINGKIL,2015,27.61131506849315,28.65076712328767,26.590630136986302,2449.01,79.67109589041097,2.0696986301369864,18.437260273972605
56,ACEH SINGKIL,2016,27.768278688524592,28.83308743169399,26.771775956284152,3213.07,80.21215846994536,2.414398907103825,18.588551912568306
57,ACEH SINGKIL,2017,27.531260273972602,28.564493150684935,26.56241095890411,3018.06,79.27742465753424,2.196876712328767,18.49386301369863
58,ACEH SINGKIL,2018,27.493616438356163,28.502164383561645,26.540191780821917,2982.09,79.53441095890412,2.0207397260273976,18.42254794520548
