kabupaten,tahun,produktivitas,komoditas,temperature,temp_max,temp_min,rainfall,humidity,wind_speed,solar_radiation
CIANJUR,2017,78.28,Jagung,23.738438356164384,27.57780821917808,20.87254794520548,3120.55,88.19750684931508,1.7454246575342467,17.612520547945206
BANDUNG,2017,0.0,Jagung,21.393123287671237,25.473479452054796,18.30484931506849,6603.78,89.07950684931507,1.545917808219178,17.63554794520548
GARUT,2017,87.91,Jagung,22.634767123287677,26.67830136986301,19.573534246575345,2844.87,88.34835616438356,1.543890410958904,17.658575342465753
TASIKMALAYA,2017,70.05,Jagung,23.72950684931507,27.124219178082196,21.34695890410959,7841.0,89.7996712328767,2.1332054794520547,16.804109589041097
CIAMIS,2017,62.46,Jagung,23.72950684931507,27.124219178082196,21.34695890410959,3920.5,89.7996712328767,2.1332054794520547,16.804109589041097
KUNINGAN,2017,67.98,Jagung,24.781972602739724,28.592657534246573,21.90139726027397,2495.39,87.00013698630137,1.7512602739726029,18.020602739726023
CIREBON,2017,79.67,Jagung,26.31854794520548,28.826150684931505,24.32935616438356,5132.65,82.83365753424657,2.67613698630137,18.020602739726023
MAJALENGKA,2017,82.63,Jagung,22.634767123287677,26.67830136986301,19.573534246575345,2844.87,88.34835616438356,1.543890410958904,18.020602739726023
SUMEDANG,2017,75.06,Jagung,25.618821917808223,28.694,23.191616438356167,3541.23,91.4971506849315,0.1094246575342465,17.653260273972602
INDRAMAYU,2017,76.88,Jagung,26.514438356164383,29.596219178082197,23.98394520547945,2637.87,81.58619178082192,2.389260273972603,18.020602739726023
SUBANG,2017,50.64,Jagung,25.338575342465752,28.96339726027397,22.388328767123287,2757.64,84.07139726027398,1.6937808219178083,17.612520547945206
PURWAKARTA,2017,66.92,Jagung,25.338575342465752,28.96339726027397,22.388328767123287,2757.64,84.07139726027398,1.6937808219178083,17.612520547945206
KARAWANG,2017,80.88,Jagung,25.338575342465752,28.96339726027397,22.388328767123287,2757.64,84.07139726027398,1.6937808219178083,17.612520547945206
BEKASI,2017,60.0,Jagung,26.00284931506849,28.957589041095893,23.619575342465755,5251.62,84.33961643835616,1.9282465753424656,17.313397260273973
